Company Name,Industry,Symbol,Series,ISIN Code
INPEX Corporation,Energy,1605.T,EQ,JP3294460005
ENEOS Holdings Inc.,Energy,5020.T,EQ,JP3386450005
Idemitsu Kosan Co. Ltd.,Energy,5019.T,EQ,JP3142500002
Cosmo Energy Holdings Co.  Ltd.,Energy,5021.T,EQ,JP3298000005
Japan Petroleum Exploration Co.  Ltd.,Energy,1662.T,EQ,JP3421100003
SINANEN Holdings Co.  Ltd.,Energy,8132.T,EQ,JP3354000006
Nippon Coke & Engineering Co.  Ltd.,Energy,3315.T,EQ,JP3889610006
Nissin Shoji Co.  Ltd.,Energy,7490.T,EQ,JP3675400000
