Company Name,Industry,SYMBOL,SERIES,ISIN
ASHIMA LIMITED,Real Estate Operations,ASHIMASYN,EQ,INE440A01010
ASHOKA BUILDCON LIMITED,Construction & Engineering,ASHOKA,EQ,INE442H01029
ASIAN HOTELS (NORTH) LIMITED,Hotels & Entertainment Services,ASIANHOTNR,EQ,INE363A01022
ASIAN GRANITO INDIA LIMITED,Homebuilding & Construction Supplies,ASIANTILES,EQ,INE022I01019
,,ASSAMCO,EQ,INE442A01024
Astec Lifesciences Limited,Chemicals,ASTEC,EQ,INE563J01010
ASTRA MICROWAVE PRODUCTS LIMITED,Electronic Equipment & Parts,ASTRAMICRO,EQ,INE386C01029
ASTRAZENECA PHARMA INDIA LIMITED,Pharmaceuticals,ASTRAZEN,EQ,INE203A01020
,,ATFL,EQ,INE209A01019
ATLANTA ELECTRICALS LIMITED,"Machinery, Equipment & Components",ATLANTA,EQ,INE285H01022
ATLAS CYCLES (HARYANA) LIMITED,Leisure Products,ATLASCYCLE,EQ,INE446A01017
,,ATNINTER,EQ,INE803A01027
ATUL AUTO LTD,Automobiles & Auto Parts,ATULAUTO,EQ,INE951D01028
AURIONPRO SOLUTIONS LIMITED,Software & IT Services,AURIONPRO,EQ,INE132H01018
AUSOM ENTERPRISE LIMITED,Investment Banking & Investment Services,AUSOMENT,EQ,INE218C01016
AUSTRAL GOLD LIMITED,Metals & Mining,AUSTRAL,EQ,INE455J01027
AUTOMOTIVE AXLES LIMITED,Automobiles & Auto Parts,AUTOAXLES,EQ,INE449A01011
AUTOLINE INDUSTRIES LIMITED,Automobiles & Auto Parts,AUTOIND,EQ,INE718H01014
,,AUTOLITIND,EQ,INE448A01013
AVANTI FEEDS LIMITED,Food & Tobacco,AVANTIFEED,EQ,INE871C01020
AVT NATURAL PRODUCTS LIMITED,Food & Tobacco,AVTNPL,EQ,INE488D01021
AXISCADES TECHNOLOGIES LIMITED,Professional & Commercial Services,AXISCADES,EQ,INE555B01013
,,AXISGOLD,EQ,INF846K01347
AYM Syntex Limited,Textiles & Apparel,AYMSYNTEX,EQ,INE193B01039
,,BAFNAPHARM,EQ,INE878I01014
B.A.G. FILMS AND MEDIA LIMITED,Media & Publishing,BAGFILMS,EQ,INE116D01028
,,BAJAJCORP,EQ,INE933K01021
BAJAJ ELECTRICALS LIMITED,Household Goods,BAJAJELEC,EQ,INE193E01025
BAJAJ FINSERV LIMITED,Banking Services,BAJAJFINSV,EQ,INE918I01018
BAJAJ HINDUSTHAN SUGAR LIMITED,Food & Tobacco,BAJAJHIND,EQ,INE306A01021
BAJAJ FINANCE LIMITED,Banking Services,BAJFINANCE,EQ,INE296A01016
BALAJI TELEFILMS LIMITED,Media & Publishing,BALAJITELE,EQ,INE794B01026
BALAJI AMINES LIMITED,Chemicals,BALAMINES,EQ,INE050E01027
BALLARPUR INDUSTRIES LIMITED,Paper & Forest Products,BALLARPUR,EQ,INE294A01037
BALMER LAWRIE AND COMPANY LIMITED,Consumer Goods Conglomerates,BALMLAWRIE,EQ,INE164A01016
BAL PHARMA LIMITED,Pharmaceuticals,BALPHARMA,EQ,INE083D01012
BANARAS BEADS LIMITED,Textiles & Apparel,BANARBEADS,EQ,INE655B01011
BANNARI AMMAN SUGARS LIMITED,Food & Tobacco,BANARISUG,EQ,INE459A01010
BANCO PRODUCTS (INDIA) LIMITED,Automobiles & Auto Parts,BANCOINDIA,EQ,INE213C01025
BANG OVERSEAS LIMITED,Textiles & Apparel,BANG,EQ,INE863I01016
,,BANKBEES,EQ,INF732E01078
BANSWARA SYNTEX LTD,Textiles & Apparel,BANSWRAS,EQ,INE629D01012
,,BARTRONICS,EQ,INE855F01034
BASF INDIA LIMITED,Chemicals,BASF,EQ,INE373A01013
BANNARI AMMAN SPINNING MILLS LIMITED,Textiles & Apparel,BASML,EQ,INE186H01014
BHARAT BIJLEE LIMITED,"Machinery, Equipment & Components",BBL,EQ,INE464A01028
BDR BUILDCON LIMITED,Real Estate Operations,BDR,IT,INE766Q01014
BEDMUTHA INDUSTRIES LIMITED,Metals & Mining,BEDMUTHA,EQ,INE844K01012
BHARAT ELECTRONICS LIMITED,Aerospace & Defense,BEL,EQ,INE263A01016
BEML LIMITED,"Machinery, Equipment & Components",BEML,EQ,INE258A01016
BHANSALI ENGINEERING POLYMERS LIMITED,Chemicals,BEPL,EQ,INE922A01025
BF INVESTMENT LIMITED,Investment Banking & Investment Services,BFINVEST,EQ,INE878K01010
BF UTILITIES LIMITED,Construction & Engineering,BFUTILITIE,EQ,INE243D01012
BHARATIYA GLOBAL INFOMEDIA LIMITED,Software & IT Services,BGLOBAL,BE,INE224M01013
BGR ENERGY SYSTEMS LIMITED,Construction & Engineering,BGRENERGY,EQ,INE661I01014
BHAGERIA INDUSTRIES LIMITED,Chemicals,BHAGERIA,EQ,INE354C01019
