Company Name,Industry,Symbol,Series,ISIN Code
Koninklijke Ahold Delhaize N.V.,Consumer Discretionary,AD.AS,EQ,
Banijay Group N.V. Class A,Consumer Discretionary,BNJ.AS,EQ,
Theon International Plc,Consumer Discretionary,THEON.AS,EQ,
Basic-Fit NV,Consumer Discretionary,BFIT.AS,EQ,
Fastned BV Shs Depositary Receipt 1 Shs,Consumer Discretionary,FAST.AS,EQ,
Sligro Food Group N.V.,Consumer Discretionary,SLIGR.AS,EQ,
AFC Ajax N.V.,Consumer Discretionary,AJAX.AS,EQ,
N.V. Koninklijke Porceleyne Fles,Consumer Discretionary,PORF.AS,EQ,
Agility Capital Holding Inc.,Consumer Discretionary,AGIL.AS,EQ,
